Name,Description,Action,Uses,Chief Ingredient,Ingredients,Preparation,Dose
Roghan Mastagi,,,,Muqil (Commiphora mukul gum),"Muqil (Commiphora mukul gum), 8 gm; Ushq (Dorema ammonicum gum), 8 gm; Gule Baboona (Matricaria chamomile flower), 8 gm; Ikleelulmalik (Trigonella unsata bud), 8 gm; Mako (Solanum nigrum fruit), 8 gm; Hasha (Thymus serphylum herb), 8 gm; Zoofa (Hyssopus officinalis flower), 8 gm; Tukhme Hulba (Trigonella foenum-graceum seed), 8 gm; Tukhme Katan (Linum usitatissimum seed), 8 gm; Gule Surkh (Rosa damascena flower), 20 gm; Berg Chuqander (Beta vulgaris leaf), 3 ; Berg Karnab (Bressica oleracea leaf), 2 ; Zaranbad (Curcuma zedoria root), 4 gm; Zaravand Mudharij (Aristolochia rotunda root), 4 gm; Marzanjosh (Origanum vulgare herb), 4 gm; Persiaoshan (Adiantum capillus herb), 4 gm; Ood Hindi (Aquilaria agallocha fungus), 4 gm; Roghan Bedanjir (Ricinus communis oil), 20 ml; Roghan Nardeen (), 15 ml; Shehem Murgh (Cock fat), 15 gm; Roghan Mastagi (Pistacia lantiscus oil), 7 ml","Ground the drugs in oils mentioned in prescription
						and cook well.",Use as indicated
Roghan Zetoon,"It was prepared for Hazrat Isa Ale-hissalam. Hawarees of Hazrat Isa prepared
						it. It contains 12 constituents.",,,Behroza (Pinus longifolia latex),"Jaosheer (Ferula galbaniflua latex), 6 gm; Behroza (Pinus longifolia latex), 6 gm; Zangar (Cupric sulphate), 6 gm; Mur (Commiphora myrrh gum), 6 gm; Murtak (), 6 gm; Kundur (Boswalia serrata gum), 10 gm; Zaravand Taveel (Aristolochia longa root), 10 gm; Muqil (Commiphora mukul gum), 12 gm; Murdar sang (Monoxide of lead), 15 gm; Ushq (Dorema ammonicum gum), 20 gm; Mom safed (white wax), 12 gm; Ral (Pinus longifolia latex), 12 gm; Roghan Zetoon (Olea europaea oil),  ","Make powder of drugs other than latex. Cook latex drugs with Mom safed
						(white wax). Lastly mix Roghan Zetoon (Olea europaea oil).",Use as paste on affected lymph nodes
Mom safed,,,,Ral (Pinus longifolia latex),"Ral (Pinus longifolia latex), 4 gm; Tootia (Copper sulphate), ½ gm; Bakri ka Seeng Sokhta (Ash of Goat horn), 1 gm; Para (Mercury), 1 gm; Berg Nim (Melia azadarachta leaf), 1 gm; Roghan Zard (Ghee), 10 ml; Mom safed (white wax), 2 gm","Ground Berg Nim (Melia azadarachta leaf) with Para (Mercury) as it turns
						black. Now melt Roghan Zard (Ghee), Mom safed (white wax) and filter it.
						Make powder of the drugs. Mix all the drugs well.",as needed on affected part
Mom zard,,,,Ushq (Dorema ammonicum latex),"Rai (Bressica alba seed), 20 gm; Kafe Darya (Cuttle Fish Bone), 20 gm; Zaravand Taveel (Aristolochia longa root), 20 gm; Muqil (Commiphora mukul gum), 20 gm; Ushq (Dorema ammonicum latex), 20 gm; Gandhak (Sulphur), 20 gm; Tukhme Utangan (Blepharis edulis seed), 20 gm; Roghan Zetoon (Olea europaea oil), 125 ml; Mom zard (yellow wax), 20 gm","Make Powder of Rai (Bressica alba seed), Kafe Darya (Cuttle Fish Bone),
						Zaravand Taveel (Aristolochia longa root), Gandhak (Sulphur), Tukhme Utangan
						(Blepharis edulis seed). Desolve Muqil (Commiphora mukul gum), Ushq (Dorcus
						ammonicum gum) in Roghan Zetoon (Olea europaea fruit) and melt Mom zard
						(yellow wax). Mix well all the drugs.","Paste on affected sight mixed with Roghan Zetoon (Olea europaea oil) or
						Roghan Gul (Rosa damascena oil)."
Zangar,,,,Zangar (Cupric sulphate),"Mom safed (white wax), 5 gm; Roghan Gul (Rosa damascena oil), 20 ml; Roghan Kunjud (Sesamum indicum oil), 20 ml; Zangar (Cupric sulphate), 4 gm",,Use on wounds or injury
Qand safed,,"Mufarreh (Refrigerant), Dafe Khafqan (Relieves palpitation), Muqavvi Bah
						(Aphrodisiac), Nafe Heza (Beneficial in Cholera), Nafe Taoon (Beneficial in
						Plague).","Khafqan (Palpitation), Heza (Cholera), Taoon (Plague)",Musk (Moschcus mosc hiferus secretion) and Amber (Ambra grasea),"Behman safed (Centaurea behen root), 4 gm; Behman surkh (Salvia heamatodes root), 4 gm; Gile armani (Arminium bole), 4 gm; Gile Makhtoom (Makhtoom clay), 4 gm; Heel Kalan (Amomum subulatum fruit), 4 gm; Heel Khurd (Elettaria cardamomum fruit), 4 gm; Jadwar (Delphinium denudatum root), 4 gm; Sumbuluttib (Nardostachis jatamansi root), 4 gm; Verq Nuqra (Silver leaf), 4 gm; Verq Tila (Gold leaf), 4 gm; Zafran (Crocus sativa gynacium), 4 gm; Musk (Moschcus moschiferus secretion), 8 gm; Amber (Ambra grasea), 12 gm; Daroonaj (Doronicum hookarii root), 12 gm; Fad Zeher Hewani (Animal kidney stone or Gall stones), 12 gm; Kabab Chini (Piper cubeba fruit), 12 gm; Kashneez (Coriandrum sativum fruit), 12 gm; Kehruba (Vateria indica gum), 12 gm; Narmusk (Musea fera flower), 12 gm; Sandal safed (Santalum album wood), 12 gm; Sandal surkh (Pterocarpus santalinus wood), 12 gm; Yaqoot Surkh (Ruby), 12 gm; Yaqoot Zard (), 12 gm; Yashb (Jade), 12 gm; Zaranbad (Curcuma zedoria root), 12 gm; Gule Neelofer (Nymphaea alba flower), 15 gm; Saad (Cyperus scariosus rhizome), 15 gm; Sazij Hindi (Cinnamomum obtusifolium leaf), 15 gm; Shaqaqul (Pustinaca secacul root), 15 gm; Zanjabil (Zingiber officinalis rhizome), 15 gm; Zarishk (Berberis aristata fruit), 15 gm; Abresham (Bombax mori cocoon), 25 gm; Gaozaban (Borage officinalis flower), 25 gm; Post Turanj (Citrus medica fruit epicarp), 25 gm; Tabasheer (Bambusa arundinasia dried exudate on node), 25 gm; Badranjboya (Melissa parviflora herb), 30 gm; Aab Behi Sheereen (Cydonia quincy sweat fruit juice), 250 ml; Aab Anar (Punica granatum Linn sweat juice), 250 ml; Arq Gulab (Rosa damascena flower aqua), 250 ml; Arq Gaozaban (Borage officinalis flower aqua), 250 ml; Arq Sandal safed (Santalum album wood aqua), 250 ml; Asl (Honey), Two times of
								drugs weigh ; Qand safed (Sugar), 250 gm","Make powder of the drugs. Make Qiwam (Basic Solution of Particular
						consistency) of Asl (Honey) and Qand Safed (Sugar) and mix the drug powder
						in Qiwam (Basic Solution of Particular consistency)","5
						gm"
Qand Safed,,"Mufarreh Qalb (Refrigerant), Dafe Khafqan (Relieves Palpitation), Muqavvi
						Qalb (Cardiac tonic), Musakkin Hararat (Febrile sedative)",Amraz Qalb (Cardiac Ailments),Marvareed (Mytilus margaritiferus pearl),"Kafoor (Cinnamomum camphora dried extract), 3 gm; Behman safed (Centaurea behen root), 7 gm; Sumbuluttib (Nardostachis jatamansi root), 7 gm; Tukhm Franjmishk (Ocymum gratissimum seed), 7 gm; Tukhm Kahu (Lactuca sativa Linn seed), 7 gm; Tukhm Khayaren (Cucumis sativa, Cucumis melo Linn var: utilissimus seed), 7 gm; Tukhm Khurfa (Portulaca oleracea seed), 7 gm; Tukhm Shahtra (Fumaria officinalis seed), 7 gm; Beikh Kewra (Habisceusable mostchus root), 10 gm; Beikh Marjan (Corallium rubrum root), 10 gm; Gule Gaozaban (Borage officinalis flower), 10 gm; Kehruba (Vateria indica gum), 10 gm; Marvareed (Mytilus margaritiferus pearl), 10 gm; Sandal safed (Santalum album wood), 10 gm; Sandal surkh (Pterocarpus santalinus wood), 10 gm; Tabasheer (Bambusa arundinasia dried exudate on node), 10 gm; Gule Neelofer (Nymphaea alba flower), 30 gm; Gule Surkh (Rosa damascena flower), 30 gm; Qand Safed (Sugar), 500 gm","Make powder of all drugs and mix in Qiwam (Basic Solution of Particular
						consistency) of sugar.","5-7
						gm"
Rub Seb,Sheikh Bu Ali Sina prepared it. It was prepared for Nooh Bin Mansoor.,"Mufarreh Qalb (Refrigerant), Dafe Khafqan (Relieves Palpitation), Muqavvi
						Qalb (Cardiac tonic)","Huma Diq (Tubercular fever), Huma Saudavi (Melancholic fever) and
						MuqavviAaza Raisa (Vital organ tonic)",Daroonaj (Doronicum hookarii root),"Gaozaban (Borage officinalis flower), 15 gm; Gule Surkh (Rosa damascena flower), 20 gm; Maghz Tukhme Kadu (Laginaria siceraria seed Kernel), 12 gm; Maghz Tukhme Kharpaza (Cucumis melo seed Kernel), 12 gm; Maghz Tukhme Khayaren (Cucumis sativa seed Kernel), 12 gm; Tukhme Kahu Muqash-shar (Lactuca sativa Linn husk less seed), 12 gm; Tukhme Khurfa (Portulaca oleracea seed), 12 gm; Dana Heel Khurd (Elettaria cardamomum seed), 10 gm; Sandal safed (Santalum album wood), 10 gm; Tabasheer (Bambusa arundinasia dried exudate on node), 10 gm; Behman safed (Centaurea behen root), 30 gm; Daroonaj (Doronicum hookarii root), 30 gm; Ood Hindi (Aquilaria agallocha fungus), 30 gm; Zaranbad (Curcuma zedoria root), 30 gm; Abresham (Bombax mori cocoon), 5 gm; Busud Sokhta (Corallium rubrum ash), 5 gm; Kafoor (Cinnamomum camphora dried extract), 5 gm; Kehruba (Vateria indica gum), 5 gm; Marvareed (Mytilus margaritiferus pearl), 5 gm; Sandal surkh (Pterocarpus santalinus wood), 5 gm; Sartan Sokhta (Sceilla serrata ash), 5 gm; Zafran (Crocus sativa gynacium), 2 gm; Amber (Ambra grasea), 1 gm; Musk (Moschcus moschiferus secretion), ½ gm; RubAnar (Punica granatum Linn Concentrated fruit juice with sugar),  ; Rub Behi (Cydonia quincy Concentrated fruit juice with sugar),  ; Rub Seb (Pyrus malus Concentrated fruit juice with sugar),  ","Make powder of all drugs and mix with particular consistency solution of all
						juices.","3
						gm"
Asl,"Due to constituent Yaqoot, It is called Yaqooti.","Mufarreh (Refrigerant), Muqavvi Azae Raisa (Vital Organs Tonic), Mushtahi
					(Appetizer), Nafe Is-hal (Beneficial in Diorrhoea), Nafe Amraz Rehem (Beneficial
					in Uterine Diseases)","Aaza Raisa (Vital
						organs), Amraz Rehem (Uterine Diseases)",Yaqoot (Ruby),"Izkher (Cymbopogon jwarancusa herb), 2 gm; Musk (Moschcus moschiferus secretion), 2 gm; Badranjboya (Melissa parviflora herb), 4 gm; Yaqoot Surkh (Red Ruby), 4 gm; Amber (Ambra grasea), 3 gm; Gile armani (Arminium bole), 3 gm; Gile Makhtoom (Makhtoom clay), 3 gm; Heel Kalan (Amomum subulatum fruit), 3 gm; Kafoor (Cinnamomum camphora dried extract), 3 g; Kashneez Khushk (Coriandrum sativum fruit), 3 gm; Lajward (Lapis lazuli), 3 gm; Narmusk (Musea fera flower), 3 gm; Sumbuluttib (Nardostachis jatamansi root), 3 gm; Verq Nuqra (Silver leaf), 3 gm; Abresham (Bombax mori cocoon), 6 gm; Azfaruttib (Ceratonia siliqua Linn), 6 gm; Behman safed (Centaurea behen root), 6 gm; Busud (Corallium rubrum), 6 gm; Dar Chini (Cinnamomum zeylanicum bark), 6 gm; Franjmishk (Ocymum gratissimum seed), 6 gm; Gaozaban (Borage officinalis flower), 6 gm; Kehruba (Vateria indica gum), 6 gm; Maghz Tukhme Kadu (Laginaria siceraria seed), 6 gm; Marvareed (Mytilus margaritiferus pearl), 6 gm; Mastagi (Pistacia lantiscus gum), 6 gm; Post Turanj (Citrus modica fruit), 6 gm; Tabasheer (Bambusa arundinasia dried exudate on node), 6 gm; Tukhme Gaozaban (Borage officinalis seed), 6 gm; Tukhme Khurfa Siyah (Portulaca oleracea herb), 6 gm; Ushna (Usnea longissima), 6 gm; Zafran (Crocus sativa gynacium), 6 gm; Zaranbad (Curcuma zedoria root), 6 gm; Zarishk (Berberis aristata fruit), 6 gm; Daroonaj (Doronicum hookarii root), 10 gm; Gule Surkh (Rosa damascena flower), 10 gm; Ood Hindi (Aquilaria agallocha fungus), 10 gm; Sandal safed (Santalum album wood), 10 gm; Sherbat Hamaaz (), 250 ml; Asl (Honey),  ","Make powder of all drugs and mix in Qiwam (Basic Solution of particular
					consistency) ofAsl (Honey)","5-10
						gm"
Amla,,,,Amla (Emblica officinalis Gaertin fruit),"Amla (Emblica officinalis Gaertin fruit),  ","Boil fresh fruits of Amla (Emblica officinalis Gaertin) in water till these
						become soft, take fruits out of water, let them dry. Make Qiwam (Basic
						Solution of Particular consistency) of sugar solution. Keep fruits in
						solution. On second day boil Qiwam (Basic Solution of Particular
						consistency). When consistency of solution become as desired. On third day
						if Qiwam (Basic Solution of Particular consistency) become liquid, boil it
						again till it become as desired.",1 fruit after washing with water
Behi,,,,Behi (Cydonia quincy fruit),"Behi (Cydonia quincy fruit),  ","Boil peeled fruits of Behi (Cydonia quincy fruit) in water till these become
						soft take fruits out of water, let them dry. Make Qiwam (Basic Solution of
						Particular consistency) of sugar. Keep fruits in Qiwam (Basic Solution of
						Particular consistency). On second day boil solution once again. When Qiwam
						(Basic Solution of Particular consistency) become as desired, preserve it.
						On third day if Qiwam (Basic Solution of Particular consistency) become
						liquid, boil it again till it become as desired.","25
						gm"
Haleela,,,,Haleela (Terminelia chebula fruit),"Haleela (Terminelia chebula fruit),  ","Boil fruits of Haleela (Terminelia chebula fruit) in water till these become
						soft take fruits out of water, let them dry. Make Qiwam (Basic Solution of
						Particular consistency) of sugar solution. Keep fruits in Qiwam (Basic
						Solution of Particular consistency). On second day boil Qiwam (Basic
						Solution of Particular consistency) once again. When Qiwam (Basic Solution
						of Particular consistency) become as desired, preserve it. On third day if
						Qiwam (Basic Solution of Particular consistency) become liquid, boil it
						again till it become as desired.",1-2 in number after washing with water. Take it at bedtime
Zanjabil,,,,Zanjabil (Zingiber officinalis rhizome),"Zanjabil (Zingiber officinalis rhizome),  ","Boil non fibrous peeled Zanjabil (Zingiber officinalis rhizome) in salty
						water till these become soft take rhizome out of water, let them dry. Make
						Qiwam (Basic Solution of Particular consistency) of sugar solution. Keep
						fruits in Qiwam (Basic Solution of Particular consistency). On second day
						boil Qiwam (Basic Solution of Particular consistency) once again. When Qiwam
						(Basic Solution of Particular consistency) become as desired, preserve it.
						On third day if Qiwam (Basic Solution of Particular consistency) become
						liquid, boil it again till it become as desired.","10-25
						gm"
Luab Aspghol,"Its name is due to its chief ingredient Kafoor (Cinnamomum camphora dried
						extract)",,,Kafoor (Cinnamomum camphora dried extract),"Zarishk (Berberis aristata fruit), 7 gm; Tabasheer (Bambusa arundinasia dried exudate on node), 7 gm; Gul surkh (Rosa damascena flower), 7 gm; Tukhme Kahu (Lactuca sativa Linn seed), 3 gm; Tukhme Khurfa (Portulaca oleracea seed), 3 gm; Tukhme Kasni (Cichorium intybus seed), 3 gm; Kateera (Astragallus gummifera gum), 3 gm; Maghz Tukhme Kharpaza (Cucumis melo seed), 5 gm; Maghz Tukhme Kadu sheereen (Laginaria siceraria seed kernel), 5 gm; Sandal safed (Santalum album wood), 2 gm; Rubbussoos (Glycyrrhiza glabra root extract), 2 gm; Kafoor (Cinnamomum camphora dried extract), 1 gm; Luab Aspghol (Plantago ovata Forsk seed mucilage), as needed ","Make powder of all drugs. Mix the drugs powder in Luab Aspghol and make
						tablet.","3
						gm"
Luab Aspghol,Its name is due to its chief ingredient Kehruba (Vateria indica gum),,,Kehruba (Vateria indica gum),"Kashneez Khushk Biryan (Coriandrum sativum roasted fruit), 60 gm; Tukhme Khashkhash Siyah (Papaver somniferum black seed), 60 gm; Tukhme Khashkhash Safed (Papaver somniferum white seed), 60 gm; Kehruba (Vateria indica gum), 50 gm; BusudAhmer (Corallium rubrum), 50 gm; Marvareed (Mytilus margaritiferus pearl), 50 gm; Tukhme Khurfa (Portulaca oleracea seed), 50 gm; Shakh Gozan Sokhta (Stag Horn ash), 60 gm; Post Bezae Murgh Sokhta (Ash of egg shell), 30 gm; Samagh Arabi (Acacia arabica gum), 30 gm; Kateera (Astragallus gummifera gum), 30 gm; Khar Mohra Sokhta (Cypraea moneta shell ash), 20 gm; Bazrulbanj (Hyoscyamus albus seed), 20 gm; Luab Aspghol (Plantago ovata Forsk seed mucilage), as needed ","Make powder of all drugs. Mix the drugs powder in Luab Aspghol (Plantago
						ovata Forsk seed mucilage) and make tablets.","5-7
						gm"
Haleela Siyah,Its name is due to its action as laxative,,,,"Ustokhuddus (Lavandula stoechas flower), 50 gm; Amla (Emblica officinalis Gaertin flower), 25 gm; Badiyan (Foeniculum vulgare Mill seed), 50 gm; Balela (Terminelia belerica fruit), 25 gm; Post Haleela Zard (Terminelia chebula half ripe fruit), 50 gm; Turbud Safed (Ipomea turpenthum root), 100 gm; Revand (Rheum palmatum root), 40 gm; Saqmoonia (Convolvulus scamony root latex), 40 gm; Senna (Cassia senna leaf), 100 gm; Samagh Arabi (Acacia arabica gum), 100 gm; Mastagi (Pistacia lantiscus gum), 14 gm; Haleela Siyah (Terminelia chebula unripe fruit), 25 gm","Make powder of all drugs except Mastagi. Make powder of Mastagi alone. Mix
						all powder in Arrowroot (Maranta arundinacea rhizome) and Malta (Citrus
						sinensis Linn fruit juice) pastes. Mix Paraffin liquid. Make tablet of
						250mg.",2-3 Tablets at bedtime
Arq Gulab,"There are two causes of it as calling Musallas. (i). Its name is due to its
						triangular shape. (ii) It is compound of three scented drugs viz: Zafran
						(Crocus sativa gynacium), Sandal safed (Santalum album wood), Kafoor
						(Cinnamomum camphora dried extract)",,"Shaqeeqa (Migraine), Suda (Headache)",Afiun (Papaver somniferum Linn latex),"Mur (Commiphora myrrh gum), 25 gm; Kafoor (Cinnamomum camphora dried extract), 25 gm; Afiun (Papaver somniferum Linn latex), 25 gm; Zafran (Crocus sativa gynacium), 25 gm; Sandal safed (Santalum album wood), 25 gm; Bazrulbanj (Hyoscyamus albus seed), 25 gm; Post Beikh Yabruj (Atropa belladonna root), 25 gm; Kundur (Boswalia serrata gum), 50 gm; Anzroot (Astragallus sarcacola gum), 50 gm; Amla (Emblica officinalis Gaertin fruit), 50 gm; Gile armani (Arminium bole), 50 gm; Arq Gulab (), as needed ","Make powder of all drugs. Mix the drugs powder in Arq Gulab, make tablet.",1 tablet in form of paste on forehead by desolation in water.
Sartan Muharraq,Its name is due to its chief ingredient Sartan (Sceilla serrata),"It is used in Sil wa Diq (Tuberculosis), Sual Yabis (Dry Cough), Huma
						Moharraqa (Particular Pyrexia, Fever)",,Sartan (Sceilla serrata),"Sandal safed (Santalum album wood), 2 gm; Sandal surkh (Pterocarpus santalinus wood), 2 gm; Tukhme Kahu (Lactuca sativa Linn seed), 3 gm; Samagh Arabi (Acacia arabica gum), 4 gm; Kateera (Astragallus gummifera gum), 4 gm; Tabasheer (Bambusa arundinasia dried exudate on node), 4 gm; Gule Surkh (Rosa damascena flower), 4 gm; Aslussoos Muqash-shar (Glycerrhiza glabra peeled root), 5 gm; Rubbussoos (Glycyrrhiza glabra root extract), 5 gm; Nishasta (Starch), 7 gm; Khurfa Siyah (Portulaca oleracea herb), 7 gm; Maghz Tukhme Kadu sheereen (Laginaria siceraria seed), 9 gm; Maghz Tukhm Khayaren (Cucumis sativa, Cucumis melo Linn var:
								utilissimus seed), 9 gm; Maghz Tukhme Kharpaza (Cucumis melo seed), 9 gm; Tukhme Khashkhash Safed (Papaver somniferum white seed), 9 gm; Sartan Muharraq (Sceilla serrata ash), 12 gm","Make powder of all drugs. Mix the drugs powder in Luab Aspghol (Plantago
						ovata Forsk mucilage) and make tablet.","2-4
						gm"
Tukhme Kahu,"Its name is due to its chief ingredient Tabasheer (Bambusa arundinasia dried
						exudate on node)",Beneficial in Diabetes,Diabetes,Tabasheer (Bambusa arundinasia dried exudate on node),"Tukhme Khurfa (Portulaca oleracea seed),  ; Gule Surkh (Rosa damascena flower),  ; Gile armani (Arminium bole),  ; Gulnar (Punica granatum flower),  ; Tabasheer (Bambusa arundinasia dried exudate on node),  ; Tukhme Kahu (Lactuca sativa Linn seed),  ","Make powder of all drugs. Mix the drugs powder in Appropriate binder and
						make tablet.","5
						gm"
Tukhme Suddab,Its name is due to its chief ingredient Aslussoos (Glycerrhiza glabra root),Mughalliz Mani (Semen viscosity),"Riqqat Mani (Less Semen viscosity), Sur-ate Inzal (Premature Ejaculation),
						Jiryan (Spermatorrhoea)",Aslussoos (Glycerrhiza glabra root),"Aslussoos (Glycerrhiza glabra root),  ; Gule Surkh (Rosa damascena flower),  ; Gulnar (Punica granatum flower),  ; Tukhm Sambhalu (Vitex negundo seed),  ; Tukhme Suddab (Ruta graveolence leaf),  ",Make powder of all drugs.,"10
						gm with water"
Suhaga Biryan,This name is due to use to children in dose of Chutki (pint),"Dafe Is-hal (Anti Diorrhoea), Hazim (Digestive)","Is-hal (Diorrhoea), Badhazmi (Dyspepsia) and Nafakh (Flatulence)",Suhaga (Borax),"Haleela Siyah (Terminelia chebula unripe fruit),  ; Podina Khushk (Mentha arvensis herb),  ; Filfil Siyah (Piper nigrum fruit),  ; Namak Tuam (Sodium chloride),  ; Zaranbad (Curcuma zedoria root),  ; Suhaga Biryan (Borax roasted),  ",Make powder of all drugs.,"500
						gm in children, 1gm in adults"
Boora armani,"Mohazzil is Arabic word which means ‘to make thin’. Its name is due to its
						action Anti-hyperlipidimia",,,Lac Maghsool (Coccus lacca purified),"Badiyan (Foeniculum vulgare Mill seed), 20 gm; Nankhuah (Carum capticum seed), 20 gm; Zeera Siyah (Carum carvi seed), 20 gm; Lac Maghsool (Coccus lacca purified), 10 gm; Marzanjosh (Origanum vulgare herb), 5 gm; Boora armani (Arminium bole), 5 gm",Make powder of all drugs.,"5
						gm with water"
Namak Siyah,"Due to its action Mullein (Laxative), it is called Safoof Mullein.",Mullein (Laxative),It is beneficial in constipation.,Senna (Cassia senna leaf),"Post Haleela Zard (Terminelia chebula half ripe fruit coat), 30 gm; Zanjabil (Zingiber officinalis rhizome), 100 gm; Senna (Cassia senna leaf), 100 gm; Namak Siyah (Sodium sulphate with Sodium chloride), 100 gm","Make powder of all drugs and sieve the powder from sieve No. 80. Preserve it
						in airtight container.",5gm powder with mild hot water.
Mastagi,"Muqliasa is word of Suryani Language, which is spoken for word Biryan
						(Roasted) as its all ingredients are used in roasted form.",,"Is-hal Kohna (Chronic diorrhoea), Zaheer Muzmin (Chronic
						Dysentery)",Hilyun (Asparagus officinalis seed),"Hilyun Biryan (Asparagus officinalis roasted seed), 60 gm; Zeera Siyah Mudabbar Biryan (Carum carvi detoxified roasted seed), 20 gm; Haleela Siyah Biryan (Terminelia chebula unripe roasted fruit), 10 gm; Tukhme Gandana Biryan (Allium ascalonicum roasted seed), 10 gm; Tukhme Katan Biryan (Linum usitatissimum roasted seed), 10 gm; Mastagi (Pistacia lantiscus gum), 5 gm",Make powder of all drugs.,"5-7
						gm with water"
Sugar,Its name is due to its ingredient Alubalu (Prunus cereus fruit),"Mudir Bol (Diuretic), Mukhrij Sang Gurda Wa Masana (Kidney and
						urinary-bladder stone expulsive)","Sang Gurda (Kidney Stone), Sang Masana (Urinary Bladder Stone)",Alubalu (Prunus cereus fruit),"Alubalu (Prunus cereus fruit), ½ kg; Sugar (), 2 kg","Soak Alubalu Prunus cereus fruit) at night in 2 litre water and make
						decoction in the morning. Mix Sugar 2 kg and prepare Qiwam (Basic Solution
						of Particular consistency) of sherbat.","25-50
						ml"
Sugar,Its name is due to its unique efficacy to cure certain disease,,,Berg Arusa (Adhatoda vasica Nees leaf),"Berg Arusa (Adhatoda vasica Nees leaf), 500 gm; Unnab Vilayti (Zizyfus sativa fruit), 20 in number; Sapistan (Cordia dichotama, C. latifolia fruit), 60 in number; Kateera (Astragallus gummifera gum), 10 gm; Samagh Arabi (Acacia arabica gum), 10 gm; Behi Dana (Cydonia quincy seed), 15 gm; Aslussoos (Glycerrhiza glabra root), 20 gm; Khubbazi (Malva sylvestris seed), 20 gm; Tukhme Khatmi (Althea officinalis seed), 20 gm; Gule Neelofer (Nymphaea alba flower), 20 gm; Gule Banafshah (Viola odorata flower), 20 gm; Sugar (), 1 kg","Make decoction of all drugs except Kateera (Astragallus gummifera gum) and
						Samagh Arabi (Acacia arabica gum) in water, filter it. In filtrate mix sugar
						and make Qiwam (Basic Solution of Particular consistency). Make powder of
						Kateera (Astragallus gummifera gum) and Samagh Arabi (Acacia arabica gum).
						Mix powder in Qiwam.","25-50
						ml"
Aab Aahan Taab,Its name is due to its ingredientAnjbar (Polyganum viviparum root),"Habis dam (Haemostatic or haemostyptic), Muqavvi Jiger (Liver tonic),
						Muqavvi Meda (Gastric tonic)","Jiryan Dam (Bleeding), Nazfuddam (Bleeding nose), KasrateTams
						(Polymenorrhoea), Melena.",Anjbar (Polyganum viviparum root),"Beikh Anjbar (Polyganum viviparum root), 25 gm; Khernob (Ceratonia siliqua fruit), 20 gm; Burada Sandal surkh (Pterocarpus santalinus wood powder), 10 gm; Burada Sandal safed (Santalum album wood powder), 10 gm; Habbul Aas (Myrtus communis fruit), 10 gm; Aab Aahan Taab (water obtained by dipping red hot iron in water),  ","Soak the drugs in water for 24 hour. Make decoction of all drugs in water
						and obtain filtrate, then mix sugar in filtrate and make Qiwam (Basic
						Solution of Particular consistency).","25-50
						ml"
Sugar,,,,Beikh Kasni (Cichorium intybus root),"Beikh Kasni (Cichorium intybus root), 20 gm; Tukhme Kharpaza (Cucumis melo seed), 15 gm; Tukhme Khayar (Cucumis sativus seed, fruit), 15 gm; Tukhm Khyarzah (Cucumis melo var: utilissimus seed), 15 gm; Maghz Tukhme Tarbooz (Citrullus vulgaris seed kernel), 8 gm; Sugar (), 1 kg","Soak the drugs in water for 24 hour. Make decoction of all drugs in water
						and obtain filtrate, then mix sugar in filtrate and make Qiwam (Basic
						Solution of Particular consistency)","25-50
						ml"
Sugar,,,,Beikh Kasni (Cichorium intybus root),"Beikh Kasni (Cichorium intybus root), 50 gm; Tukhme Kasni (Cichorium intybus seed), 25 gm; Tukhme Kharpaza (Cucumis melo seed), 25 gm; Tukhme Khayar (Cucumis sativus seed), 25 gm; Tukhm Khyarzah (Cucumis melo var: utilissimus seed), 25 gm; Beikh Badiyan (Foeniculum vulgare root),  ; Sugar (), 1 kg","Soak the drugs in water for 24 hour. Make decoction of all drugs in water
						and obtain filtrate, then mix sugar in filtrate and make Qiwam (Basic
						Solution of Particular consistency)","25-50
						ml"
Sugar,,,,Beikh Kasni (Cichorium intybus herb),"Beikh Kasni (Cichorium intybus root), 75 gm; Beikh Badiyan (Foeniculum vulgare root), 50 gm; Tukhme Kasni (Cichorium intybus seed), 50 gm; Tukhme Karafs (Apium graveolence seed), 25 gm; Beikh Karafs (Apium graveolence seed), 25 gm; Tukhme Kasoos Basurra Basta (Cuscuta reflexa seed, in cloth bag), 25 gm; Sugar (), 1 kg","Soak the drugs in water for 24 hour. Make decoction of all drugs in water
						and obtain filtrate, then mix sugar in filtrate and make Qiwam (Basic
						Solution of Particular consistency)",
